Species,5th-pct,50th-pct,95th-pct
pigs,0.737,0.974,0.99
cows,0.709,0.947,0.99
chickens,0.623,0.902,0.99
octopuses,0.433,0.776,0.99
bees,0.04,0.423,0.905
fruit_flies,0.069,0.33,0.917
salmon,0.087,0.329,0.91
carp,0.081,0.328,0.918
crayfish,0.082,0.326,0.905
crabs,0.08,0.309,0.852
ants,0.033,0.234,0.578
bsf,0.078,0.221,0.575
spiders,0.016,0.207,0.519
cockroaches,0.017,0.184,0.566
earthworms,0.002,0.041,0.248
sea_hares,0.002,0.04,0.384
silkworms,0.002,0.039,0.236
c_elegans,0.0,0.004,0.266
