Species,5th-pct,50th-pct,95th-pct
pigs,0.733,0.968,0.99
cows,0.708,0.942,0.99
chickens,0.62,0.896,0.99
octopuses,0.433,0.774,0.99
bees,0.04,0.424,0.904
fruit_flies,0.068,0.327,0.91
carp,0.081,0.326,0.912
salmon,0.087,0.326,0.902
crayfish,0.081,0.325,0.901
crabs,0.081,0.311,0.854
ants,0.034,0.237,0.585
bsf,0.091,0.228,0.59
spiders,0.016,0.212,0.53
cockroaches,0.018,0.186,0.572
earthworms,0.002,0.042,0.256
sea_hares,0.002,0.042,0.397
silkworms,0.002,0.04,0.24
c_elegans,0.0,0.004,0.27
