Species,5th-pct,50th-pct,95th-pct
pigs,0.73,0.967,0.99
cows,0.698,0.934,0.99
chickens,0.612,0.886,0.99
octopuses,0.423,0.759,0.99
bees,0.039,0.411,0.879
carp,0.08,0.327,0.916
fruit_flies,0.068,0.325,0.907
salmon,0.086,0.324,0.899
crayfish,0.08,0.321,0.888
crabs,0.08,0.308,0.848
bsf,0.082,0.221,0.577
ants,0.03,0.209,0.516
spiders,0.014,0.193,0.486
cockroaches,0.017,0.18,0.554
earthworms,0.002,0.042,0.254
sea_hares,0.002,0.042,0.398
silkworms,0.002,0.038,0.233
c_elegans,0.0,0.004,0.27
