Species,5th-pct,50th-pct,95th-pct
pigs,0.738,0.976,0.99
cows,0.711,0.949,0.99
chickens,0.625,0.903,0.99
octopuses,0.434,0.778,0.99
bees,0.04,0.424,0.907
fruit_flies,0.069,0.33,0.919
carp,0.081,0.329,0.92
salmon,0.087,0.329,0.912
crayfish,0.082,0.327,0.908
crabs,0.08,0.31,0.854
ants,0.033,0.235,0.58
bsf,0.084,0.224,0.58
spiders,0.016,0.209,0.522
cockroaches,0.018,0.184,0.569
earthworms,0.002,0.041,0.249
sea_hares,0.002,0.041,0.387
silkworms,0.002,0.039,0.237
c_elegans,0.0,0.004,0.267
