Species,5th-pct,50th-pct,95th-pct
cows,0.655,0.864,0.982
pigs,0.653,0.863,0.982
chickens,0.573,0.82,0.981
octopuses,0.41,0.727,0.984
bees,0.038,0.406,0.864
bsf,0.136,0.328,0.856
crabs,0.083,0.313,0.859
salmon,0.084,0.311,0.861
crayfish,0.078,0.31,0.858
carp,0.077,0.31,0.861
fruit_flies,0.065,0.308,0.856
ants,0.037,0.258,0.631
spiders,0.019,0.253,0.626
cockroaches,0.02,0.205,0.625
earthworms,0.003,0.052,0.315
silkworms,0.002,0.052,0.314
sea_hares,0.002,0.05,0.471
c_elegans,0.0,0.005,0.305
